bench,scale,target_rel_err,pareto_sim,pareto_pred,common_percent
gesummv,512,0.001,[ 773 1390 2246],[ 773 1390 2246],1.0
gesummv,512,0.0001,[2214 2434],[939],0.0
gesummv,512,1e-05,[2214 2434],[ 376 2214],0.5
gesummv,4,0.01,[ 105 1690 2342 3193],[ 105 1690 2342 3193],1.0
gesummv,4,0.001,[ 791 1690 2342],[1690 2342 3193],0.6666666666666666
gesummv,4,0.0001,[ 791 1690 2342],[ 791 1690 2342],1.0
gesummv,4,1e-05,[1690 2342],[1133 1690 2342],1.0
gesummv,1024,0.01,[ 284 1422 2108 3372],[ 284 1422 2108 3372],1.0
gesummv,1024,0.001,[1846 2062],[],0.0
gesummv,1024,0.0001,[2062 2534],[805],0.0
gesummv,1024,1e-05,[2062 2534],[ 476 2062],0.5
gesummv,8,0.01,[ 316 1548 2324 3404],[ 316 1548 2324 3404],1.0
gesummv,8,0.001,[1002 1548 2324],[1548 2324 3404],0.6666666666666666
gesummv,8,0.0001,[1002 1548 2324],[1002 1548 2324],1.0
gesummv,8,1e-05,[1548 2324],[1344 1548 2324],1.0
gesummv,2,0.01,[ 161 1598 2182 3249],[ 161 1598 2182 3249],1.0
gesummv,2,0.001,[ 847 1598 2182],[1598 2182 3249],0.6666666666666666
gesummv,2,0.0001,[ 847 1598 2182],[ 847 1598 2182],1.0
gesummv,2,1e-05,[1598 2182],[1189 1598 2182],1.0
gesummv,256,0.01,[ 179 1516 2140 3267],[ 179 1516 2140 3267],1.0
gesummv,256,0.001,[ 865 1516 2140],[ 865 1516 2140],1.0
gesummv,256,0.0001,[2310 2680],[925],0.0
gesummv,256,1e-05,[2310 2680],[ 622 2310],0.5
lu,128,0.01,[   7 1581 2357 3095],[   7 1581 2357 3095],1.0
lu,128,0.001,[ 693 1581 2357],[ 693 1581 2357],1.0
lu,128,0.0001,[ 573 2155],[573],0.5
lu,128,1e-05,[ 573 2155],[ 573 2155],1.0
lu,1,0.01,[ 268 1531 2077 3356],[ 268 1531 2077 3356],1.0
lu,1,0.001,[1531 2077 3356],[1531 2077 3356],1.0
lu,1,0.0001,[ 954 1531 2077],[ 954 1531 2077],1.0
lu,1,1e-05,[1531 2077],[1296 1531 2077],1.0
lu,16,0.01,[  42 1481 2375 3130],[  42 1481 2375 3130],1.0
lu,16,0.001,[1481 2375 3130],[1481 2375 3130],1.0
lu,16,0.0001,[ 728 1481 2375],[1070 1481 2375],0.6666666666666666
lu,16,1e-05,[ 441 2127],[ 441 2127],1.0
lu,32,0.01,[ 148 1440 2201 3236],[ 148 1440 2201 3236],1.0
lu,32,0.001,[1440 2201 3236],[1440 2201 3236],1.0
lu,32,0.0001,[ 834 1440 2201],[1176 1440 2201],0.6666666666666666
lu,32,1e-05,[ 427 2169],[ 427 2169],1.0
lu,64,0.01,[ 194 1499 2229 3282],[ 194 1499 2229 3282],1.0
lu,64,0.001,[1499 2229 3282],[1499 2229 3282],1.0
lu,64,0.0001,[ 591 2279],[591],0.5
lu,64,1e-05,[ 591 2279],[ 591 2279],1.0
lu,512,0.01,[1747 2215],[],0.0
lu,512,0.001,[2215 2435],[],0.0
lu,512,0.0001,[ 377 2215],[377],0.5
lu,512,1e-05,[ 377 2215],[ 377 2215],1.0
lu,4,0.01,[ 106 1691 2343 3194],[ 106 1691 2343 3194],1.0
lu,4,0.001,[1691 2343 3194],[1691 2343 3194],1.0
lu,4,0.0001,[ 792 1691 2343],[1134 1691 2343],0.6666666666666666
lu,4,1e-05,[1691 2343],[1134 1691 2343],1.0
lu,1024,0.01,[1847 2063],[],0.0
lu,1024,0.001,[2063 2535],[],0.0
lu,1024,0.0001,[ 477 2063],[477],0.5
lu,1024,1e-05,[ 477 2063],[ 477 2063],1.0
lu,8,0.01,[ 317 1549 2325 3405],[ 317 1549 2325 3405],1.0
lu,8,0.001,[1549 2325 3405],[1549 2325 3405],1.0
lu,8,0.0001,[1003 1549 2325],[1345 1549 2325],0.6666666666666666
lu,8,1e-05,[1549 2325],[1345 1549 2325],1.0
lu,2,0.01,[ 162 1599 2183 3250],[ 162 1599 2183 3250],1.0
lu,2,0.001,[1599 2183 3250],[1599 2183 3250],1.0
lu,2,0.0001,[ 848 1599 2183],[ 848 1599 2183],1.0
lu,2,1e-05,[1599 2183],[1190 1599 2183],1.0
lu,256,0.01,[ 180 1517 2141 3268],[ 180 1517 2141 3268],1.0
lu,256,0.001,[2311 2681],[],0.0
lu,256,0.0001,[ 623 2311],[623],0.5
lu,256,1e-05,[ 623 2311],[ 623 2311],1.0
symm,128,0.01,[  10 1584 2360 3098],[  10 1584 2360 3098],1.0
symm,128,0.001,[1946 2158],[],0.0
symm,128,0.0001,[2158 2634],[1024],0.0
symm,128,1e-05,[ 576 2158],[ 576 2158],1.0
symm,1,0.01,[ 271 1534 2080 3359],[ 271 1534 2080 3359],1.0
symm,1,0.001,[1534 2080 3359],[1534 2080 3359],1.0
symm,1,0.0001,[ 957 1534 2080],[ 957 1534 2080],1.0
symm,1,1e-05,[1534 2080],[1299 1534 2080],1.0
symm,16,0.01,[  45 1484 2378 3133],[  45 1484 2378 3133],1.0
symm,16,0.001,[1484 2378 3133],[1484 2378 3133],1.0
symm,16,0.0001,[ 731 1484 2378],[ 731 1484 2378],1.0
symm,16,1e-05,[ 444 2130],[444],0.5
symm,32,0.01,[ 151 1443 2204 3239],[ 151 1443 2204 3239],1.0
symm,32,0.001,[1443 2204 3239],[1443 2204 3239],1.0
symm,32,0.0001,[2172 2488],[749],0.0
symm,32,1e-05,[ 430 2172],[430],0.5
symm,64,0.01,[ 197 1502 2232 3285],[ 197 1502 2232 3285],1.0
symm,64,0.001,[ 883 1502 2232],[1502 2232  883],1.0
symm,64,0.0001,[2282 2652],[763],0.0
symm,64,1e-05,[ 594 2282],[ 594 2282],1.0
symm,512,0.01,[1750 2218 2782],[],0.0
symm,512,0.001,[1750 2218],[],0.0
symm,512,0.0001,[2218 2438],[943],0.0
symm,512,1e-05,[ 380 2218],[ 380 2218],1.0
symm,4,0.01,[ 109 1694 2346 3197],[ 109 1694 2346 3197],1.0
symm,4,0.001,[1694 2346 3197],[1694 2346 3197],1.0
symm,4,0.0001,[ 795 1694 2346],[ 795 1694 2346],1.0
symm,4,1e-05,[1137 1694 2346],[1137 1694 2346],1.0
symm,1024,0.01,[2024 2066 2882 3376],[1426 2112 3376],0.25
symm,1024,0.001,[ 974 1850 2066],[ 974 1426 2112],0.3333333333333333
symm,1024,0.0001,[2066 2538],[809],0.0
symm,1024,1e-05,[ 480 2066],[ 480 2066],1.0
symm,8,0.01,[ 320 1552 2328 3408],[ 320 1552 2328 3408],1.0
symm,8,0.001,[1552 2328 3408],[1552 2328 3408],1.0
symm,8,0.0001,[1006 1552 2328],[1006 1552 2328],1.0
symm,8,1e-05,[ 558 2396],[558],0.5
symm,2,0.01,[ 165 1602 2186 3253],[ 165 1602 2186 3253],1.0
symm,2,0.001,[1602 2186 3253],[1602 2186 3253],1.0
symm,2,0.0001,[ 851 1602 2186],[ 851 1602 2186],1.0
symm,2,1e-05,[1193 1602 2186],[1193 1602 2186],1.0
symm,256,0.01,[1996 2314 3028],[],0.0
symm,256,0.001,[1996 2314],[],0.0
symm,256,0.0001,[2314 2684],[929],0.0
symm,256,1e-05,[2314 2684],[ 626 2314],0.5
trmm,128,0.01,[  13 1587 1903 2363 2935],[  13 1587 2363 3101],0.6
trmm,128,0.001,[1587 1903 2363 3101],[1587 2363 3101],0.75
trmm,128,0.0001,[ 699 1587 2363],[ 699 1587 2363],1.0
trmm,128,1e-05,[2161 2637],[1027],0.0
trmm,1,0.01,[ 274 1537 2083 3362],[ 274 1537 2083 3362],1.0
trmm,1,0.001,[1537 2083 3362],[1537 2083 3362],1.0
trmm,1,0.0001,[ 960 1537 2083],[1537 2083  960],1.0
trmm,1,1e-05,[1302 1537 2083],[ 960 1537 2083],0.6666666666666666
trmm,16,0.01,[  48 1487 2381 3136],[  48 1487 2381 3136],1.0
trmm,16,0.001,[1487 2381 3136],[1487 2381 3136],1.0
trmm,16,0.0001,[ 734 1487 2381],[1487 2381  734],1.0
trmm,16,1e-05,[1487 2381],[1076 1487 2381],1.0
trmm,32,0.01,[ 154 1446 2207 3242],[ 154 1446 2207 3242],1.0
trmm,32,0.001,[1446 2207 3242],[1446 2207 3242],1.0
trmm,32,0.0001,[ 840 1446 2207],[1446 2207  840],1.0
trmm,32,1e-05,[1446 2207],[1182 1446 2207],1.0
trmm,64,0.01,[ 200 1505 2235 3288],[ 200 1505 2235 3288],1.0
trmm,64,0.001,[1505 2235 3288],[1505 2235 3288],1.0
trmm,64,0.0001,[ 886 1505 2235],[ 886 1505 2235],1.0
trmm,64,1e-05,[2285 2655],[766],0.0
trmm,512,0.01,[1871 2221 3182],[1397 2253 3182],0.3333333333333333
trmm,512,0.001,[ 780 1753 2221 2559],[1397 2253  780],0.25
trmm,512,0.0001,[2221 2441],[],0.0
trmm,512,1e-05,[2221 2441],[946],0.0
trmm,4,0.01,[ 112 1697 2349 3200],[ 112 1697 2349 3200],1.0
trmm,4,0.001,[1697 2349 3200],[1697 2349 3200],1.0
trmm,4,0.0001,[ 798 1697 2349],[1697 2349  798],1.0
trmm,4,1e-05,[1697 2349],[1697 2349 1140],1.0
trmm,1024,0.01,[2027 2069 3379],[1429 2115 3379],0.3333333333333333
trmm,1024,0.001,[ 977 1853 2069 2715],[1429 2115  977],0.25
trmm,1024,0.0001,[2069 2541],[],0.0
trmm,1024,1e-05,[2069 2541],[812],0.0
trmm,8,0.01,[ 323 1555 2331 3411],[ 323 1555 2331 3411],1.0
trmm,8,0.001,[1555 2331 3411],[1555 2331 3411],1.0
