bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp,energy_per_op,rel_err_pred,rel_err_pred_formal,fix_err_eq_fl_err,energy_pred,lut_share,ff_share,dsp_share,max_area_share,ml_error,energy_gain_rel,time_gain_rel,error_gain_rel,lut_gain_rel,ff_gain_rel,dsp_gain_rel,canon_arch
symm,float,128,noFPU,noFPU_IM,0,0,0.05,17565180000.0,8386.624618525,878259000.0,noFPU_IM_float,3.960341762091904e-08,float32,24,3.415810817092643e-08,160,4935,4560,700554.25,,7936.0,5725.0,4.0,187692.0825426945,9.536743164062504e-08,3.0517578125000014e-06,2048.0,926260427.3481973,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,4.668708372384169e-08,10.214019457202388,7.966935176617863,0.9954387216863072,0.7403675716018285,0.7626215532169974,0.4,IM
syr2k,float,128,noFPU,noFPU_IM,0,0,0.05,30836140000.0,13888.448060372,1541807000.0,noFPU_IM_float,3.2125142417487925e-08,float32,24,2.944063753257344e-08,256,8872,8296,126996.476562,,7936.0,5725.0,4.0,187692.0825426945,1.1920928955078125e-07,3.814697265625e-06,2048.0,1665204156.3187857,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,9.369584939368237e-08,12.516071202142967,9.762535537671514,1.0126845892916196,0.7403675716018285,0.7626215532169974,0.4,IM
syrk,float,128,noFPU,noFPU_IM,0,0,0.047,16607100000.0,8986.343817177,780533700.0,noFPU_IM_float,2.6870707076444653e-08,float32,24,2.6870707879528174e-08,256,4632,4216,105803.515625,,7936.0,5725.0,4.0,187692.0825426945,5.960464477539063e-08,1.9073486328125e-06,2048.0,869389726.3377609,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,2.4352829311533465e-08,8.22579349923742,6.825658435537434,1.0,0.7403675716018285,0.7626215532169974,0.4,IM
trmm,float,128,noFPU,noFPU_IM,0,0,0.048,6284960000.0,4544.483273241,301678080.0,noFPU_IM_float,2.888327152807745e-08,float32,24,2.9579634082328764e-08,160,1805,1600,85320.0,,7936.0,5725.0,4.0,187692.0825426945,2.384185791015626e-08,7.629394531250004e-07,2048.0,338784208.9895636,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,5.695228285722385e-09,5.935021255097367,5.069497322062334,0.9889340088354944,0.7403675716018285,0.7626215532169974,0.4,IM
2mm,float,32,noFPU,noFPU_IM,0,0,0.048,20339840000.0,7143.712987237,976312320.0,noFPU_IM_float,3.9982823901125915e-08,float32,24,4.3347217800537314e-08,112,5700,5232,628531.1875,,7936.0,5725.0,4.0,187692.0825426945,1.3623918805803557e-07,4.359654017857138e-06,2048.0,1069844870.4933586,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,9.187355466874335e-08,6.920534440264626,5.622934232715008,1.0581591780321382,0.7403675716018285,0.7626215532169974,0.4,IM
3mm,float,32,noFPU,noFPU_IM,0,0,0.049,18088940000.0,6123.748609555,886358060.0,noFPU_IM_float,7.354996624620365e-08,float32,24,7.52888218451343e-08,72,5220,4800,56920.203125,,7936.0,5725.0,4.0,187692.0825426945,2.119276258680556e-07,6.781684027777779e-06,2048.0,979752670.8728652,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,1.1959383994388905e-07,5.547697433893278,4.641950914073967,1.1171574869095273,0.7403675716018285,0.7626215532169974,0.4,IM
atax,float,32,noFPU,noFPU_IM,0,0,0.051,6918700000.0,3333.87949529,352853700.0,noFPU_IM_float,6.128089065718007e-08,float32,24,4.6010920003254163e-08,22,2244,1760,252035.078125,,7936.0,5725.0,4.0,187692.0825426945,3.4679066051136386e-07,1.1097301136363643e-05,2048.0,421181033.2258064,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,7.470579902244965e-08,7.125861364927922,5.728633646314604,0.933691745590735,0.7403675716018285,0.7626215532169974,0.4,IM
bicg,float,32,noFPU,noFPU_IM,0,0,0.05,6517720000.0,3399.281462814,325886000.0,noFPU_IM_float,4.6163657112635327e-08,float32,24,4.034227218969073e-08,42,2242,1760,7005.091309,,7936.0,5725.0,4.0,187692.0825426945,1.816522507440477e-07,5.812872023809526e-06,2048.0,420805649.06072104,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,3.6117284108515955e-08,7.964134196171968,6.371307356937574,0.9854772542735319,0.7403675716018285,0.7626215532169974,0.4,IM
gemm,float,32,noFPU,noFPU_IM,0,0,0.045,21954920000.0,7107.050785804,987971400.0,noFPU_IM_float,2.7332279412611132e-08,float32,24,3.2268758122612074e-08,120,6352,5880,6430.719727,,7936.0,5725.0,4.0,187692.0825426945,1.2715657552083325e-07,4.069010416666664e-06,2048.0,1192220108.3111954,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,1.019414033048618e-07,7.362055819709658,6.216847136643712,1.0,0.7403675716018285,0.7626215532169974,0.4,IM
gemver,float,32,noFPU,noFPU_IM,0,0,0.053,15507800000.0,9007.844845627,821913400.0,noFPU_IM_float,3.961935354812545e-08,float32,24,5.106620529911685e-08,440,4640,4020,45254740.0,,7936.0,5725.0,4.0,187692.0825426945,3.4679066051136395e-08,1.1097301136363646e-06,2048.0,870891262.9981024,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,1.4607707096929349e-08,10.09887372178038,7.81233627533954,0.9989150906660278,0.7403675716018285,0.7626215532169974,0.4,IM
