bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp
symm,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.043,1063180000.0,2281.761008628,45716740.0,bfloat16_IMFZm_fixed,0.004583998092820149,bfloat16,8,0.0029898846544985,160,4935,4560,10961.280273,1164.72802734375,10431.0,7288.0,4.0
syr2k,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.046,1997360000.0,3589.382069066,91878560.0,bfloat16_IMFZm_fixed,0.004102166318521113,bfloat16,8,0.0027530991181963,256,8872,8296,1997.759888,1171.495361328125,10431.0,7288.0,4.0
syrk,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.042,1254900000.0,3376.864219567,52705800.0,bfloat16_IMFZm_fixed,0.004341311984001628,bfloat16,8,0.0026653809564047,256,4632,4216,1664.939941,1035.14208984375,10431.0,7288.0,4.0
trmm,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.046,597460000.0,2240.06690643,27483160.0,bfloat16_IMFZm_fixed,0.004742786743702617,bfloat16,8,0.0028904934955876,160,1805,1600,1341.0,1078.9033203125,10431.0,7288.0,4.0
heat-3d,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.051,197600000.0,1939.352215163,10077600.0,bfloat16_IMFZm_fixed,0.0011445221445221447,bfloat16,8,0.0,125,8350,8100,416.0,1575.137939453125,10431.0,7288.0,4.0
jacobi-1d,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.044,179160000.0,464.548315898,7883040.0,bfloat16_IMFZm_fixed,0.004877643572677721,bfloat16,8,0.0023588793055819,15,840,780,18.133333,898.120361328125,10431.0,7288.0,4.0
jacobi-2d,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.049,3127740000.0,4144.206923781,153259260.0,bfloat16_IMFZm_fixed,0.004402094148625428,bfloat16,8,0.0030916132002405,225,18250,16900,257.066681,1050.544921875,10431.0,7288.0,4.0
seidel-2d,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.049,4777780000.0,7031.337761546,234111220.0,bfloat16_IMFZm_fixed,0.004375419798523985,bfloat16,8,0.0030940997034472,400,30360,29160,320.799988,1025.82275390625,10431.0,7288.0,4.0
2mm,float,32,bfloat16,bfloat16_IMFZm,1,1,0.034,3617300000.0,2345.05276476,122988200.00000001,bfloat16_IMFZm_float,0.0036414725848386313,bfloat16,8,0.0312830299047304,112,5700,5232,628531.1875,,10431.0,7288.0,4.0
3mm,float,32,bfloat16,bfloat16_IMFZm,1,1,0.035,3896840000.0,2027.010308227,136389400.0,bfloat16_IMFZm_float,0.0075281276023797155,bfloat16,8,0.0556945520187737,72,5220,4800,56920.203125,,10431.0,7288.0,4.0
atax,float,32,bfloat16,bfloat16_IMFZm,1,1,0.035,1207740000.0,842.05314063,42270900.00000001,bfloat16_IMFZm_float,0.004270098835860752,bfloat16,8,0.0644477460610011,22,2244,1760,252035.078125,,10431.0,7288.0,4.0
bicg,float,32,bfloat16,bfloat16_IMFZm,1,1,0.034,1022980000.0,1030.929585876,34781320.0,bfloat16_IMFZm_float,0.0035178455746338404,bfloat16,8,0.0239894151058488,42,2242,1760,7005.091309,,10431.0,7288.0,4.0
gemm,float,32,bfloat16,bfloat16_IMFZm,1,1,0.033,3531520000.0,2449.581161415,116540160.0,bfloat16_IMFZm_float,0.002322378803160187,bfloat16,8,0.0170679350521624,120,6352,5880,6430.719727,,10431.0,7288.0,4.0
gemver,float,32,bfloat16,bfloat16_IMFZm,1,1,0.035,1985040000.0,6152.602925297,69476400.0,bfloat16_IMFZm_float,0.00509290189649914,bfloat16,8,0.0129701139811543,440,4640,4020,45254740.0,,10431.0,7288.0,4.0
gesummv,float,32,bfloat16,bfloat16_IMFZm,1,1,0.035,599960000.0,686.183767601,20998600.000000004,bfloat16_IMFZm_float,0.006510935522208775,bfloat16,8,0.0089804131896198,16,1600,1072,11596.800781,,10431.0,7288.0,4.0
lu,float,32,bfloat16,bfloat16_IMFZm,1,1,0.036,4072720000.0,7244.530256544,146617920.0,bfloat16_IMFZm_float,0.0170103814232518,bfloat16,8,0.0294515432164485,400,21550,5130,261.519989,,10431.0,7288.0,4.0
ludcmp,float,32,bfloat16,bfloat16_IMFZm,1,1,0.036,4176200000.0,3482.020426362,150343200.0,bfloat16_IMFZm_float,1.1411990298485073,bfloat16,8,0.9633309296632904,20,22390,5910,261.519989,,10431.0,7288.0,4.0
mvt,float,32,bfloat16,bfloat16_IMFZm,1,1,0.034,1090040000.0,1023.692169964,37061360.0,bfloat16_IMFZm_float,0.00525833116061193,bfloat16,8,0.026522292681525,40,2080,1600,5110.399902,,10431.0,7288.0,4.0
symm,float,32,bfloat16,bfloat16_IMFZm,1,1,0.034,2204760000.0,2625.87522273,74961840.0,bfloat16_IMFZm_float,0.0038464078244083494,bfloat16,8,0.016477330624946,160,4935,4560,43810.558594,,10431.0,7288.0,4.0
syr2k,float,32,bfloat16,bfloat16_IMFZm,1,1,0.034,3158620000.0,4021.460367864,107393080.00000001,bfloat16_IMFZm_float,0.0035172564049064958,bfloat16,8,0.0113723378510026,256,8872,8296,7960.319336,,10431.0,7288.0,4.0
syrk,float,32,bfloat16,bfloat16_IMFZm,1,1,0.034,2433040000.0,3865.633761143,82723360.0,bfloat16_IMFZm_float,0.007738321243189287,bfloat16,8,0.0109143384634948,256,4632,4216,6632.879883,,10431.0,7288.0,4.0
trmm,float,32,bfloat16,bfloat16_IMFZm,1,1,0.036,1239760000.0,2362.046879924,44631360.0,bfloat16_IMFZm_float,0.0035037094008398256,bfloat16,8,0.0094186798291961,160,1805,1600,5346.0,,10431.0,7288.0,4.0
2mm,float,64,bfloat16,bfloat16_IMFZm,1,1,0.034,3617300000.0,2411.442310932,122988200.00000001,bfloat16_IMFZm_float,0.003623660756463486,bfloat16,8,0.0312489091204285,112,5700,5232,5028249.5,,10431.0,7288.0,4.0
3mm,float,64,bfloat16,bfloat16_IMFZm,1,1,0.035,3896840000.0,2044.218858356,136389400.0,bfloat16_IMFZm_float,0.0075281276023797155,bfloat16,8,0.0556945520187737,72,5220,4800,910723.25,,10431.0,7288.0,4.0
atax,float,64,bfloat16,bfloat16_IMFZm,1,1,0.035,1207740000.0,871.610993554,42270900.00000001,bfloat16_IMFZm_float,0.004270098835860752,bfloat16,8,0.0644477460610011,22,2244,1760,2016280.625,,10431.0,7288.0,4.0
bicg,float,64,bfloat16,bfloat16_IMFZm,1,1,0.034,1022980000.0,1083.615649829,34781320.0,bfloat16_IMFZm_float,0.0035178455746338404,bfloat16,8,0.0239894151058488,42,2242,1760,28020.365234,,10431.0,7288.0,4.0
gemm,float,64,bfloat16,bfloat16_IMFZm,1,1,0.033,3531520000.0,2428.399910451,116540160.0,bfloat16_IMFZm_float,0.0024212930810388962,bfloat16,8,0.0167476233844301,120,6352,5880,25661.439453,,10431.0,7288.0,4.0
gemver,float,64,bfloat16,bfloat16_IMFZm,1,1,0.035,1985040000.0,5982.174032743,69476400.0,bfloat16_IMFZm_float,0.005007219513667649,bfloat16,8,0.0132581472036349,440,4640,4020,1349725056.0,,10431.0,7288.0,4.0
gesummv,float,64,bfloat16,bfloat16_IMFZm,1,1,0.035,599960000.0,676.37763533,20998600.000000004,bfloat16_IMFZm_float,0.006510935522208775,bfloat16,8,0.0089804131896198,16,1600,1072,46387.203125,,10431.0,7288.0,4.0
lu,float,64,bfloat16,bfloat16_IMFZm,1,1,0.036,4072720000.0,7540.41920728,146617920.0,bfloat16_IMFZm_float,0.0170103814232518,bfloat16,8,0.0294515432164485,400,21550,5130,523.039978,,10431.0,7288.0,4.0
ludcmp,float,64,bfloat16,bfloat16_IMFZm,1,1,0.036,4176200000.0,3547.790875846,150343200.0,bfloat16_IMFZm_float,1.1411990298485073,bfloat16,8,0.9633309296632904,20,22390,5910,523.039978,,10431.0,7288.0,4.0
mvt,float,64,bfloat16,bfloat16_IMFZm,1,1,0.034,1090040000.0,1050.945889309,37061360.0,bfloat16_IMFZm_float,0.0049287625480421106,bfloat16,8,0.0264226966322534,40,2080,1600,20409.599609,,10431.0,7288.0,4.0
symm,float,64,bfloat16,bfloat16_IMFZm,1,1,0.034,2204760000.0,2642.126237232,74961840.0,bfloat16_IMFZm_float,0.004068271831978115,bfloat16,8,0.0161850341465894,160,4935,4560,175173.125,,10431.0,7288.0,4.0
syr2k,float,64,bfloat16,bfloat16_IMFZm,1,1,0.034,3158620000.0,3791.721136272,107393080.00000001,bfloat16_IMFZm_float,0.003416843718214533,bfloat16,8,0.0114380111724294,256,8872,8296,31779.837891,,10431.0,7288.0,4.0
syrk,float,64,bfloat16,bfloat16_IMFZm,1,1,0.034,2433040000.0,3716.40919477,82723360.0,bfloat16_IMFZm_float,0.007748141621027153,bfloat16,8,0.0112837011022859,256,4632,4216,26477.759766,,10431.0,7288.0,4.0
trmm,float,64,bfloat16,bfloat16_IMFZm,1,1,0.036,1239760000.0,2406.198001026,44631360.0,bfloat16_IMFZm_float,0.003192205378138509,bfloat16,8,0.0095355893865151,160,1805,1600,21348.0,,10431.0,7288.0,4.0
2mm,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.035,1920820000.0,2006.714401328,67228700.0,bfloat16_IMFZm_fixed,0.00827451061338748,bfloat16,8,0.0180553483427635,112,5700,5232,2574463744.0,1279.20166015625,10431.0,7288.0,4.0
3mm,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.039,1735080000.0,1472.707201551,67668120.0,bfloat16_IMFZm_fixed,0.008991571618601995,bfloat16,8,0.0195238088199564,72,5220,4800,3730322432.0,1396.001708984375,10431.0,7288.0,4.0
atax,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.038,723120000.0,689.569456355,27478560.0,bfloat16_IMFZm_fixed,0.006705365033347235,bfloat16,8,0.0245579916596005,22,2244,1760,1032335680.0,1023.673583984375,10431.0,7288.0,4.0
bicg,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.038,520160000.0,895.984333119,19766080.0,bfloat16_IMFZm_fixed,0.004934270517548721,bfloat16,8,0.0034903830443934,42,2242,1760,1793303.375,1077.94091796875,10431.0,7288.0,4.0
gemm,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.044,1589880000.0,2037.473775781,69954720.0,bfloat16_IMFZm_fixed,0.006368873669144817,bfloat16,8,0.0026181793756146,120,6352,5880,1638891.5,1128.072998046875,10431.0,7288.0,4.0
gemver,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.04,1194960000.0,5743.371518756,47798400.0,bfloat16_IMFZm_fixed,0.005863192532955742,bfloat16,8,0.004909719851986,440,4640,4020,41561861652480.0,1592.77392578125,10431.0,7288.0,4.0
gesummv,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.038,275060000.0,517.496675423,10452280.0,bfloat16_IMFZm_fixed,0.005174147741085327,bfloat16,8,0.0035826019574069,16,1600,1072,2968781.0,1110.765625,10431.0,7288.0,4.0
lu,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.041,1933500000.0,6386.30795645,79273500.0,bfloat16_IMFZm_fixed,0.015966647685967773,bfloat16,8,0.0152221714528864,400,21550,5130,4184.319824,1087.220947265625,10431.0,7288.0,4.0
ludcmp,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.046,1667740000.0,2019.441272498,76716040.0,bfloat16_IMFZm_fixed,41.98990246557608,bfloat16,8,,1,22390,5910,4184.319824,1231.76806640625,10431.0,7288.0,4.0
mvt,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.042,524420000.0,881.006619065,22025640.0,bfloat16_IMFZm_fixed,0.004886150981436781,bfloat16,8,0.003108501009641,40,2080,1600,1304422.375,1057.568603515625,10431.0,7288.0,4.0
symm,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.03,2235140000.0,2581.8772097,67054200.0,bfloat16_IMFZm_fixed,0.07185100080660434,bfloat16,8,0.0724806637447059,160,4935,4560,11207209.0,1159.96728515625,10431.0,7288.0,4.0
syr2k,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.044,1997140000.0,3683.391568403,87874160.0,bfloat16_IMFZm_fixed,0.005678459091577033,bfloat16,8,0.0027058771761524,256,8872,8296,2030469.0,1164.5126953125,10431.0,7288.0,4.0
syrk,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.043,1255320000.0,3479.037150703,53978759.99999999,bfloat16_IMFZm_fixed,0.004665502729646177,bfloat16,8,0.0028522896966028,256,4632,4216,1691566.125,1032.786376953125,10431.0,7288.0,4.0
trmm,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.032,1219700000.0,2327.137551771,39030400.0,bfloat16_IMFZm_fixed,0.017639232674416052,bfloat16,8,0.0103670983039557,160,1805,1600,1364256.0,1050.71728515625,10431.0,7288.0,4.0
heat-3d,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.051,197600000.0,1941.015511683,10077600.0,bfloat16_IMFZm_fixed,0.0011445221445221447,bfloat16,8,0.0,125,8350,8100,13312.0,1334.811767578125,10431.0,7288.0,4.0
jacobi-1d,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.044,179040000.0,468.568200508,7877760.0,bfloat16_IMFZm_fixed,0.005661525390106197,bfloat16,8,0.0030122250643051,15,840,780,580.266663,900.60888671875,10431.0,7288.0,4.0
jacobi-2d,fixed,512,bfloat16,bfloat16_IMFZm,1,1,0.049,3127740000.0,4361.497448179,153259260.0,bfloat16_IMFZm_fixed,0.006200682595717206,bfloat16,8,0.00440267539566,225,18250,16900,8226.133789,1050.353271484375,10431.0,7288.0,4.0
