bench,arch,taffo_conf,hw_sw_config,energy,float_op_count_default,kernel_float_op_count_default,energy_per_op
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,20998600.000000004,1600,1072,19588.24626865672
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,146617920.0,21550,5130,28580.491228070176
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,150343200.0,22390,5910,25438.781725888326
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37061360.0,2080,1600,23163.35
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74961840.0,4935,4560,16439.0
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107393080.0,8872,8296,12945.16393442623
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82723360.0,4632,4216,19621.290322580644
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44631360.0,1805,1600,27894.6
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,122988200.0,5700,5232,23506.91896024465
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136389400.0,5220,4800,28414.458333333332
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42270900.00000001,2244,1760,24017.556818181823
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,34781320.0,2242,1760,19762.113636363636
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,20998600.000000004,1600,1072,19588.24626865672
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,146617920.0,21550,5130,28580.491228070176
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,150343200.0,22390,5910,25438.781725888326
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37061360.0,2080,1600,23163.35
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74961840.0,4935,4560,16439.0
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107393080.0,8872,8296,12945.16393442623
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82723360.0,4632,4216,19621.290322580644
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44631360.0,1805,1600,27894.6
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,58734960.0,5700,5232,11226.100917431193
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,67639440.0,5220,4800,14091.55
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26715600.0,2244,1760,15179.318181818182
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,20288000.0,2242,1760,11527.272727272728
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,71525700.0,6352,5880,12164.234693877552
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,46735860.0,4640,4020,11625.835820895523
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10331880.0,1600,1072,9637.94776119403
lu,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,83140500.0,21550,5130,16206.72514619883
ludcmp,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,74112720.0,22390,5910,12540.223350253807
mvt,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,22602520.0,2080,1600,14126.575
symm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,44567040.0,4935,4560,9773.473684210527
syr2k,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,89881200.0,8872,8296,10834.281581485053
syrk,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,52705800.0,4632,4216,12501.375711574952
trmm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,27483160.0,1805,1600,17176.975
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,61563959.99999999,5700,5232,11766.811926605504
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,64542719.99999999,5220,4800,13446.399999999998
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,25392600.0,2244,1760,14427.613636363636
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,21267520.0,2242,1760,12083.818181818182
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,80482500.0,6352,5880,13687.5
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,45830640.0,4640,4020,11400.65671641791
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10198800.0,1600,1072,9513.805970149253
lu,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,85074000.0,21550,5130,16583.625730994154
ludcmp,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,68107600.0,22390,5910,11524.128595600678
mvt,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,21233400.0,2080,1600,13270.875
symm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,45705560.0,4935,4560,10023.149122807017
syr2k,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,86526000.0,8872,8296,10429.845708775314
syrk,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,59979839.99999999,4632,4216,14226.71726755218
trmm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,28080620.0,1805,1600,17550.3875
